2019-04-23 13:48:07,274 [Dummy-1:9688] [django.channels.server:147] [runserver:log_action] [INFO]- HTTP GET / 302 [0.07, 127.0.0.1:59737]
2019-04-23 13:48:08,104 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.04, 127.0.0.1:59737]
2019-04-23 13:48:08,133 [Dummy-1:9688] [django.channels.server:145] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/bootstrap.css 304 [0.01, 127.0.0.1:59737]
2019-04-23 13:48:08,151 [Dummy-1:9688] [django.channels.server:145] [runserver:log_action] [INFO]- HTTP GET /static/js/custom.js 304 [0.00, 127.0.0.1:59737]
2019-04-23 13:48:08,176 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:59738]
2019-04-23 13:48:08,577 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /getServerList/ 200 [0.03, 127.0.0.1:59738]
2019-04-23 13:48:10,170 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /webssh/68 200 [0.02, 127.0.0.1:59738]
2019-04-23 13:48:10,272 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:59738]
2019-04-23 13:48:10,406 [Dummy-1:9688] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /webssh/68 200 [0.02, 127.0.0.1:59738]
2019-04-23 13:48:10,422 [Dummy-1:9688] [django.channels.server:162] [runserver:log_action] [INFO]- WebSocket HANDSHAKING /webconnect/ [127.0.0.1:59747]
2019-04-23 13:48:10,430 [Dummy-1:9688] [django.channels.server:158] [runserver:log_action] [INFO]- WebSocket CONNECT /webconnect/ [127.0.0.1:59747]
2019-04-23 13:48:16,343 [Dummy-1:9688] [django.channels.server:160] [runserver:log_action] [INFO]- WebSocket DISCONNECT /webconnect/ [127.0.0.1:59747]
2019-04-24 15:08:42,490 [Dummy-6:8568] [django.channels.server:147] [runserver:log_action] [INFO]- HTTP GET / 302 [0.07, 127.0.0.1:64188]
2019-04-24 15:08:43,619 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.10, 127.0.0.1:64188]
2019-04-24 15:08:43,733 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/font-awesome.css 200 [0.06, 127.0.0.1:64189]
2019-04-24 15:08:43,736 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/bootstrap.css 200 [0.06, 127.0.0.1:64188]
2019-04-24 15:08:43,738 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/select2.min.css 200 [0.07, 127.0.0.1:64193]
2019-04-24 15:08:43,749 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/checkbox3.min.css 200 [0.04, 127.0.0.1:64194]
2019-04-24 15:08:43,756 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/custom-styles.css 200 [0.04, 127.0.0.1:64195]
2019-04-24 15:08:43,780 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/js/jquery-1.10.2.js 200 [0.04, 127.0.0.1:64188]
2019-04-24 15:08:43,784 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/js/dataTables/dataTables.bootstrap.css 200 [0.06, 127.0.0.1:64196]
2019-04-24 15:08:43,804 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/assets/css/bootstrap-table.min.css 200 [0.07, 127.0.0.1:64189]
2019-04-24 15:08:43,808 [Dummy-6:8568] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/css/style1.css 200 [0.07, 127.0.0.1:64193]
